area_id,survey_id,iso3,survyear,period,tips,births,pys,asfr,survtype,age_group
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,14,26.1542778480092,74.9659655654567,0.34888202467255,MICS,Y020_024
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,14,67.9085304427955,180.219226837688,0.376810685709779,MICS,Y025_029
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,14,21.4287276265621,63.8854662587302,0.335424140754921,MICS,Y025_029
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,14,37.7316647515545,69.0142005461341,0.546723202659312,MICS,Y025_029
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,14,38.8655555819017,90.7607222219602,0.428219990216186,MICS,Y025_029
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,14,19.1902903158766,63.7446184820204,0.301049575209072,MICS,Y025_029
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,14,18.7396832557386,90.7723926552971,0.206446946120518,MICS,Y025_029
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,14,19.1020037458496,47.8713749188262,0.399027681537039,MICS,Y025_029
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,14,26.5152538381197,79.5574334435294,0.333284429756529,MICS,Y025_029
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,14,32.7837796700393,92.5933954608547,0.354061750375049,MICS,Y025_029
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,14,33.5423009802716,74.044000416841,0.453004980706614,MICS,Y025_029
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,14,47.004186104394,114.893407361017,0.409111255241112,MICS,Y025_029
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,14,18.1014273055432,45.2017300271754,0.400458727899586,MICS,Y025_029
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,14,34.6404362706079,116.450270498327,0.297469779351913,MICS,Y030_034
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,14,21.964104286726,65.0844785140974,0.337470696365318,MICS,Y030_034
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,14,32.4923210099501,63.7331410886836,0.509818290059446,MICS,Y030_034
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,14,19.9658064361141,74.434786107794,0.268232200025406,MICS,Y030_034
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,14,12.4231667738043,39.0059023769447,0.318494535871764,MICS,Y030_034
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,14,14.2823626543737,70.0920450022975,0.203765814707011,MICS,Y030_034
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,14,12.2056774537377,45.2408735746874,0.269793142556975,MICS,Y030_034
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,14,31.8088111497408,55.1196505502125,0.577086589487061,MICS,Y030_034
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,14,26.8633768582263,58.8491482180213,0.456478601163508,MICS,Y030_034
