survey_id,country,survyear,area_id,period,tips,births,pys,asfr,age_group
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,0,4.149553113797825,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,0,4.626409312420438,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_80,2016,0,0.7005277651322607,1.3131217680564935,0.5334827143784904,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0.9143184393956346,1.8800085026300664,0.48633739587695213,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_82,2016,0,0,1.2383868745548205,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,2.791665625560887,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0.9615618707253599,5.6862724793923904,0.1691023204058818,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,0,2.597439275050246,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,3.894754854786197,10.033459540473984,0.388176664197941,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,3.521850990416226,6.381163319821193,0.5519136267013633,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,0,6.729597592724794,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_63,2016,0,0.508972312564906,0.4665579531844972,1.0909090909090908,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_64,2016,0,0,0.7515425137864403,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,0,3.973843106810481,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,0,1.790245486923747,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,0.5163833718898492,2.3638295168101715,0.21845203650163134,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_80,2016,0,0,0.4382195562346734,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0.7956862197827982,1.1822555843400921,0.6730238624560457,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_82,2016,0,0.7047842746249161,1.2303019732892735,0.5728547055326916,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,3.01844868666152,0,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0.48738686840120754,2.3612334846105725,0.20641197559570862,Y020_024
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,2.850483667050962,3.9234917220972427,0.7265170590260044,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,1.1847359424968866,9.030445790168761,0.13119351691216413,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,1.1813862747873967,5.325681089342346,0.22182820468757786,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,1.1664740750812463,7.560579347634825,0.15428368931094605,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_63,2016,0,0,0.7893586607050677,0,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_64,2016,0,0,2.1923211324846195,0,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,2.9694433808886487,2.3366822522733512,1.2707946825032312,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,1.7700747064423545,1.50168695792235,1.1787241655819738,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,1.193177834498601,1.6118410806542496,0.7402577393140319,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_80,2016,0,0,1.0906630624151743,0,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0.9131059394604988,2.0516597778435766,0.4450571918996387,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_82,2016,0,0,1.0401353179368125,0,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,1.855102060170421,3.131371354447177,0.5924248037639492,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0.5247501003781923,1.9360215475735194,0.27104558884475183,Y025_029
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,1.0906705521104705,3.967849113270984,0.2748770230356245,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,7.635044154530014,7.190968268142217,1.0617546719480275,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,0,3.9003538522642915,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,2.79402634107429,2.9751374118358926,0.9391251408956458,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_63,2016,0,0,0.20381471314069408,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_64,2016,0,0,0.3630268707057187,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,0,1.0333292642566632,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,0,1.2558888482827275,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,1.995385707428433,2.0667182968232733,0.9654850932009046,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_80,2016,0,0,0.34084430094921964,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0.9945258595474841,0.7285684975601381,1.3650409849972867,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_82,2016,0,0.9221758539050453,1.1646596372486921,0.7917985859658767,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,3.926483628727968,0,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0.7074416937443536,3.511394347099051,0.2014703060420453,Y030_034
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,0,3.6445126378527943,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,1.827295925288615,6.094133812276952,0.299845061099156,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,0,2.8725460099237288,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,0,2.3376361325047568,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_63,2016,0,0,0.6641845549617037,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,0,2.183624704232515,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,1.158028217044085,1.158028217044085,1,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,0,2.670471087687707,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_80,2016,0,0,0.4044094009502582,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0.9945258595474841,1.0217353451388183,0.9733693409738728,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_82,2016,0,0,0.8453278660796247,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,3.0524185018122734,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0,1.2599509770531254,0,Y035_039
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,0,0.10886705717456784,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,1.6753010635420935,7.066639594032722,0.23707181344818645,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,0,1.1334295804045778,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,0,3.5125622808870505,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_64,2016,0,0,0.9685096167530691,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,0,2.026207101399144,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,0,2.228714938550608,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,0,2.3257411910279417,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,1.0253934944560172,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0,2.5696107944072564,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,0,0.21923580098353043,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,0,2.1972207575130978,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,0,0.9147536799038154,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,0,0.9132775211672776,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,0,0.7024665796946974,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_75,2016,0,0,0.4451022598536547,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_79,2016,0,0,1.099691711779917,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_81,2016,0,0,0.3119662506096878,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_84,2016,0,0,1.5294391794095359,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_87,2016,0,0,1.6440834558147612,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_58,2017,0,1.0921188374808077,6.4110510324258225,0.17034942195235814,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_60,2017,0,1.0992547625499764,24.19886277742382,0.04542588520215584,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_61,2017,0,0,4.579699857933226,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_62,2017,0,3.9955995482177915,12.139708949973741,0.329134706992002,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_63,2017,0,0,1.070043048120346,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_64,2017,0,0,1.5000876249799628,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_66,2017,0,2.030921311818487,10.665483630223749,0.19041999240083973,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_67,2017,0,1.319436163877048,33.98231247011301,0.03882714471057479,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_68,2017,0,0.5507194954060363,7.868854678453652,0.06998724946770282,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_70,2017,0,0,4.00819966764683,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_71,2017,0,3.493755135175684,22.653624598993293,0.15422499476445564,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_72,2017,0,3.7288664557971276,11.385193790931893,0.3275189271496726,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_73,2017,0,0,5.565674012457561,0,Y015_019
