survey_id,country,survyear,area_id1,period,tips,births,pys,asfr,age_group
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_15yu,2016,0,0,3.9781319972359572,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_17ut,2016,0,0,1.1524857806891622,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_18pr,2016,0,0,0.6767277986797816,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_19xj,2016,0,0,0.18413207894013775,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_21xi,2016,0,0,0.039607219153408445,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_23wy,2016,0,0,4.203816044075303,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_24ey,2016,0,0,0.9691970987615108,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_26ev,2016,0,0,0.9766823062369911,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_28cd,2016,0,0,0.22469234558963727,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_30ud,2016,0,0,4.342012316625791,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_32ux,2016,0,0,0.47393362974088743,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_01df,2016,0,0,14.974359541221279,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_02rc,2016,0,0,24.855959181134246,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_03mp,2016,0,0,2.9372554036478786,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_04ad,2016,0,0,0.06024595099883929,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_06vp,2016,0,0,1.4310876272884685,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_11jl,2016,0,0,3.2266467816649302,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_15yu,2016,0,0,0.877154434145751,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_17ut,2016,0,0,0.7084279533374758,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_21xi,2016,0,0,0.030100022688368856,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_23wy,2016,0,0,4.386762624780333,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_24ey,2016,0,0,3.023773909291174,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_26ev,2016,0,0,0.4330379503073109,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_28cd,2016,0,0,0.08146783583455929,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_30ud,2016,0,0,2.4249754858286283,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_01df,2017,0,6.561871921284937,169.9726789704962,0.03860545095264366,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_02rc,2017,0,3.1454867444930756,170.59715759385028,0.01843809585609687,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_03mp,2017,0,0,53.202781539175604,0,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_04ad,2017,0,1.1929729248042449,7.793136712102074,0.15307994314428747,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_05mk,2017,0,1.415135018141928,9.713001163843892,0.1456949293293292,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_06vp,2017,0,2.7052177761700698,40.87380365694753,0.06618463500179411,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_07ms,2017,0,3.7186464816606963,20.644379877981127,0.18012875676769194,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_08fi,2017,0,1.485075619970603,5.197672074142552,0.2857193756717698,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_09mb,2017,0,0,11.568005927460472,0,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_10eg,2017,0,0.7847604129175798,4.540770777054742,0.17282537512862414,Y015_019
