survey_id,country,survyear,period,tips,births,pys,asfr,age_group
LSO2017PHIA,Lesotho,2017,2016,0,80.54657735535801,1121.8561942275699,0.07179759560075936,Y015_019
LSO2017PHIA,Lesotho,2017,2016,0,168.45824893307864,1054.3497625697548,0.1597745405874586,Y020_024
LSO2017PHIA,Lesotho,2017,2016,0,125.65867186471732,998.0328905288006,0.12590634342535342,Y025_029
LSO2017PHIA,Lesotho,2017,2016,0,81.99808529779587,829.8141254753799,0.09881500299940206,Y030_034
LSO2017PHIA,Lesotho,2017,2016,0,41.15072984111312,658.9098185585597,0.06245274949937008,Y035_039
LSO2017PHIA,Lesotho,2017,2016,0,7.1650089704056175,490.58490070896374,0.01460503362425378,Y040_044
LSO2017PHIA,Lesotho,2017,2016,0,3.010955970052965,365.67974612661595,0.008233860370845988,Y045_049
LSO2017PHIA,Lesotho,2017,2017,0,11.446417022293272,161.04165459768603,0.07107736846649204,Y015_019
LSO2017PHIA,Lesotho,2017,2017,0,22.82481086890242,156.93440578609824,0.14544172614393217,Y020_024
LSO2017PHIA,Lesotho,2017,2017,0,21.332057021000708,149.58022458511573,0.1426128158328985,Y025_029
LSO2017PHIA,Lesotho,2017,2017,0,13.148366081463736,126.6019791761421,0.10385592837510332,Y030_034
LSO2017PHIA,Lesotho,2017,2017,0,4.863205560314087,105.58597514493407,0.04605920013182187,Y035_039
LSO2017PHIA,Lesotho,2017,2017,0,0,72.81996361601077,0,Y040_044
LSO2017PHIA,Lesotho,2017,2017,0,0.8806311748213045,59.46133073892591,0.014810149115024868,Y045_049
MWI2017PHIA,Malawi,2017,2015,0,160.6976991616905,1464.0208878467156,0.1097646218682337,Y015_019
MWI2017PHIA,Malawi,2017,2015,0,263.2947599135028,1247.003200338485,0.21114200816969386,Y020_024
MWI2017PHIA,Malawi,2017,2015,0,184.0852135812133,1056.297881145487,0.17427395895330658,Y025_029
MWI2017PHIA,Malawi,2017,2015,0,125.44765282927446,895.5872623649772,0.1400730650165846,Y030_034
MWI2017PHIA,Malawi,2017,2015,0,72.01990811807856,692.2104030420309,0.10404337727600654,Y035_039
MWI2017PHIA,Malawi,2017,2015,0,28.06863417210984,527.7093981174718,0.053189566591462456,Y040_044
MWI2017PHIA,Malawi,2017,2015,0,3.303706238497667,354.30094649618894,0.009324576383916613,Y045_049
MWI2017PHIA,Malawi,2017,2016,0,99.63644366786491,837.399608032833,0.11898315059153733,Y015_019
MWI2017PHIA,Malawi,2017,2016,0,174.90846781106063,705.2855399854914,0.24799667353829305,Y020_024
MWI2017PHIA,Malawi,2017,2016,0,100.5036473325158,593.7740507832602,0.1692624445274078,Y025_029
MWI2017PHIA,Malawi,2017,2016,0,66.12789772398666,490.3444643865112,0.1348600882172124,Y030_034
MWI2017PHIA,Malawi,2017,2016,0,36.51491158341753,405.3687641577489,0.09007825666905056,Y035_039
MWI2017PHIA,Malawi,2017,2016,0,14.308552290444744,325.9388610448172,0.04389949772965947,Y040_044
MWI2017PHIA,Malawi,2017,2016,0,3.8535667245180916,224.34034391775876,0.01717732378056252,Y045_049
"NAM2017PHIA",Namibia,2017,2016,0,55.6567861895773,457.99888149608324,0.12152166400007523,Y015_019
"NAM2017PHIA",Namibia,2017,2016,0,76.97359072391032,492.04879863884196,0.15643487177865875,Y020_024
"NAM2017PHIA",Namibia,2017,2016,0,64.11573360061455,414.4105804912441,0.1547154841573096,Y025_029
"NAM2017PHIA",Namibia,2017,2016,0,52.28158483700263,344.7381959461331,0.15165591005521148,Y030_034
"NAM2017PHIA",Namibia,2017,2016,0,33.95906840606001,296.8400877375023,0.11440189451800138,Y035_039
"NAM2017PHIA",Namibia,2017,2016,0,11.938077688238419,237.5305464786426,0.05025912610070058,Y040_044
"NAM2017PHIA",Namibia,2017,2016,0,3.900970310494481,161.6564937449636,0.024131231725518083,Y045_049
"NAM2017PHIA",Namibia,2017,2017,0,104.99814940872079,1227.6702032290386,0.08552634830800072,Y015_019
"NAM2017PHIA",Namibia,2017,2017,0,201.85989166277284,1238.8115684341108,0.16294640509204225,Y020_024
"NAM2017PHIA",Namibia,2017,2017,0,189.30623387425132,1075.5542998524213,0.17600806756128107,Y025_029
"NAM2017PHIA",Namibia,2017,2017,0,143.74331458184457,879.6764380636314,0.16340475697889148,Y030_034
"NAM2017PHIA",Namibia,2017,2017,0,73.01507543544486,733.6061781467863,0.09952898109431593,Y035_039
"NAM2017PHIA",Namibia,2017,2017,0,35.75184845392173,617.8017086522259,0.05786945544698587,Y040_044
