"","area_id","survey_id","iso3","survyear","period","tips","births","pys","asfr","survtype","age_group"
"91","SSD_1_10","SSD2010MICS","SSD",2010,1996,14,2.82868493370394,1.79936154997403,1.57204922698541,"MICS","Y035_039"
"92","SSD_1_2","SSD2010MICS","SSD",2010,1996,14,3.19921296457756,6.25903070777567,0.511135527838701,"MICS","Y035_039"
"93","SSD_1_3","SSD2010MICS","SSD",2010,1996,14,0,0.436554064424751,0,"MICS","Y035_039"
"94","SSD_1_4","SSD2010MICS","SSD",2010,1996,14,0,1.89657074401138,0,"MICS","Y035_039"
"95","SSD_1_5","SSD2010MICS","SSD",2010,1996,14,0.809105475448836,1.50079296908395,0.539118647352601,"MICS","Y035_039"
"96","SSD_1_6","SSD2010MICS","SSD",2010,1996,14,0,0.388805413140975,0,"MICS","Y035_039"
"97","SSD_1_7","SSD2010MICS","SSD",2010,1996,14,0,0.765013145012826,0,"MICS","Y035_039"
"98","SSD_1_8","SSD2010MICS","SSD",2010,1996,14,0,1.094207589656,0,"MICS","Y035_039"
"99","SSD_1_9","SSD2010MICS","SSD",2010,1996,14,0,0.364083798506052,0,"MICS","Y035_039"
"100","SSD_1_1","SSD2010MICS","SSD",2010,1996,13,23.7725262785068,156.319173008136,0.152076842661326,"MICS","Y015_019"
"101","SSD_1_10","SSD2010MICS","SSD",2010,1996,13,25.3167955652727,135.170793091362,0.187294865897259,"MICS","Y015_019"
"102","SSD_1_2","SSD2010MICS","SSD",2010,1996,13,16.7032124491287,205.710406631248,0.0811977027446675,"MICS","Y015_019"
"103","SSD_1_3","SSD2010MICS","SSD",2010,1996,13,2.28596378884339,69.1083445883383,0.0330779705759171,"MICS","Y015_019"
"104","SSD_1_4","SSD2010MICS","SSD",2010,1996,13,20.4327576381794,173.708535845099,0.117626675849712,"MICS","Y015_019"
"105","SSD_1_5","SSD2010MICS","SSD",2010,1996,13,13.2943462224032,116.18403159335,0.114424900221522,"MICS","Y015_019"
"106","SSD_1_6","SSD2010MICS","SSD",2010,1996,13,4.58314963781323,45.3741761556707,0.101007886558409,"MICS","Y015_019"
"107","SSD_1_7","SSD2010MICS","SSD",2010,1996,13,13.3095594467931,96.5319923131228,0.137877185872437,"MICS","Y015_019"
"108","SSD_1_8","SSD2010MICS","SSD",2010,1996,13,8.56622484647903,88.6832580138996,0.0965934838020544,"MICS","Y015_019"
"109","SSD_1_9","SSD2010MICS","SSD",2010,1996,13,15.504787210927,153.977431806104,0.100695192984199,"MICS","Y015_019"
"110","SSD_1_1","SSD2010MICS","SSD",2010,1996,13,20.9485345725418,99.2832062847922,0.210997764440154,"MICS","Y020_024"
"111","SSD_1_10","SSD2010MICS","SSD",2010,1996,13,19.4079579665923,91.6469168405147,0.211768803967146,"MICS","Y020_024"
"112","SSD_1_2","SSD2010MICS","SSD",2010,1996,13,32.6992772720165,162.777872969513,0.200882814571123,"MICS","Y020_024"
"113","SSD_1_3","SSD2010MICS","SSD",2010,1996,13,9.7289191500373,67.1091935098795,0.144971480675074,"MICS","Y020_024"
"114","SSD_1_4","SSD2010MICS","SSD",2010,1996,13,27.5665566077082,137.440404059396,0.200570980537827,"MICS","Y020_024"
"115","SSD_1_5","SSD2010MICS","SSD",2010,1996,13,13.1548827763144,76.1357074454454,0.172782039041806,"MICS","Y020_024"
"116","SSD_1_6","SSD2010MICS","SSD",2010,1996,13,4.60377846778285,31.3651477984466,0.146780066122017,"MICS","Y020_024"
"117","SSD_1_7","SSD2010MICS","SSD",2010,1996,13,11.7759516170452,63.1196043186914,0.186565675500568,"MICS","Y020_024"
"118","SSD_1_8","SSD2010MICS","SSD",2010,1996,13,7.92973988508244,67.9917173487257,0.11662802756417,"MICS","Y020_024"
"119","SSD_1_9","SSD2010MICS","SSD",2010,1996,13,25.9540356086622,132.398491533129,0.196029692696068,"MICS","Y020_024"
"120","SSD_1_1","SSD2010MICS","SSD",2010,1996,13,14.4112194214869,71.7618127866346,0.200820169695754,"MICS","Y025_029"
"121","SSD_1_10","SSD2010MICS","SSD",2010,1996,13,22.2366429002962,83.8038089184566,0.265341673454641,"MICS","Y025_029"
"122","SSD_1_2","SSD2010MICS","SSD",2010,1996,13,15.4010922521892,117.855179126212,0.130678111614391,"MICS","Y025_029"
"123","SSD_1_3","SSD2010MICS","SSD",2010,1996,13,8.27299095809711,35.1908330221927,0.235089375488209,"MICS","Y025_029"
"124","SSD_1_4","SSD2010MICS","SSD",2010,1996,13,19.9802736316627,74.5931433263332,0.26785670559896,"MICS","Y025_029"
"125","SSD_1_5","SSD2010MICS","SSD",2010,1996,13,18.1489790750962,50.2712620890394,0.361020955530241,"MICS","Y025_029"
"126","SSD_1_6","SSD2010MICS","SSD",2010,1996,13,3.87773971642494,21.9336081587407,0.176794428365842,"MICS","Y025_029"
"127","SSD_1_7","SSD2010MICS","SSD",2010,1996,13,5.52217781611913,42.1119781574917,0.131130810228556,"MICS","Y025_029"
"128","SSD_1_8","SSD2010MICS","SSD",2010,1996,13,7.61149740438415,56.1639061624254,0.135522935003342,"MICS","Y025_029"
"129","SSD_1_9","SSD2010MICS","SSD",2010,1996,13,10.0227130503897,71.9036499301766,0.13939088015869,"MICS","Y025_029"
"130","SSD_1_1","SSD2010MICS","SSD",2010,1996,13,10.9943398894387,51.1933774651906,0.214760979521508,"MICS","Y030_034"
"131","SSD_1_10","SSD2010MICS","SSD",2010,1996,13,7.32318006553238,44.0568332510613,0.166221208496777,"MICS","Y030_034"
"132","SSD_1_2","SSD2010MICS","SSD",2010,1996,13,9.30015260838339,51.2747919650042,0.181378651223605,"MICS","Y030_034"
"133","SSD_1_3","SSD2010MICS","SSD",2010,1996,13,1.49675679231343,21.3594422267512,0.0700747133948493,"MICS","Y030_034"
"134","SSD_1_4","SSD2010MICS","SSD",2010,1996,13,8.41348843925036,37.0075716634789,0.227345055648524,"MICS","Y030_034"
"135","SSD_1_5","SSD2010MICS","SSD",2010,1996,13,7.42141272512824,30.7017358983939,0.241726160035025,"MICS","Y030_034"
"136","SSD_1_6","SSD2010MICS","SSD",2010,1996,13,2.28126040392181,11.0484398514225,0.206478057952055,"MICS","Y030_034"
